RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,3,52453,Nicolai Højgaard,0.874,6.117,7
2,-1,46046,Scottie Scheffler,0.863,12.082,14
3,0,24502,Adam Scott,0.843,10.956,13
4,1,59095,Chris Gotterup,0.784,13.326,17
5,3,56781,Isaiah Salinda,0.768,4.606,6
6,3,57586,Jesper Svensson,0.761,1.522,2
7,3,35296,Haotong Li,0.733,8.064,11
8,-2,51003,Marco Penge,0.728,8.005,11
9,3,63454,Johnny Keefer,0.704,9.148,13
10,-3,59836,Pierceson Coody,0.702,14.742,21
11,-9,34099,Harris English,0.695,11.814,17
12,23,37378,Min Woo Lee,0.682,9.542,14
13,0,49947,Taylor Moore,0.670,3.352,5
14,0,34076,Joel Dahmen,0.662,4.633,7
14,0,31323,Gary Woodland,0.662,5.958,9
16,0,39546,Keith Mitchell,0.658,11.178,17
17,4,61522,Michael Brennan,0.618,4.943,8
18,4,52689,Rasmus Neergaard-Petersen,0.605,4.233,7
19,4,63807,Neal Shipley,0.602,4.819,8
20,4,65256,David Ford,0.578,4.047,7
21,-10,37455,Si Woo Kim,0.569,11.945,21
21,-3,48081,Xander Schauffele,0.569,7.398,13
23,2,52686,Rasmus Højgaard,0.564,5.077,9
24,-4,40098,Matt Fitzpatrick,0.561,7.850,14
25,21,63343,Aldrich Potgieter,0.558,6.702,12
26,-9,51287,Ryo Hisatsune,0.545,10.346,19
27,0,52375,Doug Ghim,0.542,4.338,8
28,1,50525,Collin Morikawa,0.524,7.343,14
29,3,47483,Will Zalatoris,0.508,1.523,3
30,11,48117,Kurt Kitayama,0.507,8.617,17
31,-12,47420,Jake Knapp,0.480,9.122,19
32,2,64442,Gordon Sargent,0.446,1.783,4
33,-2,55893,Sam Stevens,0.438,9.191,21
34,8,30911,Tommy Fleetwood,0.436,3.485,8
35,1,46464,Jordan Smith,0.407,4.482,11
36,13,46442,Maverick McNealy,0.404,6.871,17
37,-4,52215,Robert MacIntyre,0.400,5.600,14
38,54,28237,Rory McIlroy,0.396,3.168,8
39,-1,47917,Takumi Kanaya,0.385,3.846,10
40,7,57366,Cameron Young,0.374,5.607,15
41,-2,50188,S.H. Kim,0.364,4.736,13
42,1,12716,Charley Hoffman,0.349,1.396,4
43,1,49855,Kristoffer Reitan,0.346,3.118,9
44,7,58168,Davis Thompson,0.310,2.481,8
45,7,49120,Kensei Hirata,0.302,3.629,12
46,4,59018,Ryan Gerard,0.287,4.873,17
47,-17,29936,Ryan Fox,0.285,3.415,12
48,6,59440,Ricky Castillo,0.275,2.478,9
49,-22,33141,Keegan Bradley,0.272,2.990,11
50,-3,33204,Shane Lowry,0.261,2.090,8
50,7,46340,Alex Smalley,0.261,3.914,15
52,3,51950,Max McGreevy,0.246,4.180,17
53,0,40026,Daniel Berger,0.237,3.800,16
54,6,50286,A.J. Ewart,0.231,2.537,11
55,6,50497,Adrien Dumont de Chassart,0.230,2.066,9
56,19,32102,Rickie Fowler,0.207,2.900,14
57,16,35450,Patrick Cantlay,0.206,2.267,11
58,5,60386,Sudarshan Yellamaraju,0.205,2.463,12
59,-34,49960,Sepp Straka,0.180,2.338,13
60,6,59006,Davis Chatfield,0.174,1.216,7
60,-1,40250,Taylor Pendrith,0.174,2.439,14
62,12,39997,Corey Conners,0.170,2.373,14
63,-5,51696,Rico Hoey,0.167,3.013,18
64,-8,55182,Tom Kim,0.166,2.828,17
65,2,35461,Beau Hossler,0.164,0.656,4
66,2,54422,Christo Lamprecht,0.163,1.307,8
67,-30,47504,Sam Burns,0.156,1.558,10
68,-23,49771,J.T. Poston,0.144,1.734,12
69,2,23108,Matt Kuchar,0.142,0.427,3
70,-8,39324,J.J. Spaun,0.139,1.525,11
71,6,59143,Mac Meissner,0.096,1.254,13
72,6,54783,Dylan Wu,0.089,0.626,7
73,8,52955,Ludvig Åberg,0.082,0.740,9
73,7,35506,Mackenzie Hughes,0.082,0.990,12
75,12,60004,Jacob Bridgeman,0.065,1.163,18
76,-12,59141,Matt McCarty,0.046,0.876,19
77,7,57364,Michael Thorbjornsen,0.034,0.406,12
78,7,35658,Kris Ventura,0.027,0.109,4
79,-7,25493,Nick Taylor,0.018,0.330,18
80,6,39977,Max Homa,0.014,0.151,11
81,-16,28089,Jason Day,-0.008,-0.087,11
82,8,36689,Brooks Koepka,-0.009,-0.047,5
83,-4,22405,Justin Rose,-0.018,-0.180,10
84,9,34256,Andrew Putnam,-0.025,-0.074,3
84,9,47983,Chad Ramey,-0.025,-0.323,13
86,-16,54421,Garrick Higgo,-0.032,-0.289,9
87,9,39335,Kevin Roy,-0.038,-0.382,10
88,13,56630,Akshay Bhatia,-0.044,-0.618,14
89,-1,34098,Russell Henley,-0.046,-0.548,12
90,7,40006,Erik van Rooyen,-0.051,-0.307,6
91,7,35310,Lanto Griffin,-0.068,-0.135,2
92,7,57259,Dan Brown,-0.070,-0.700,10
93,16,51766,Wyndham Clark,-0.080,-1.359,17
94,6,66743,Luke Clanton,-0.084,-0.253,3
95,7,49766,Hank Lebioda,-0.094,-0.750,8
96,-6,34021,Bud Cauley,-0.102,-1.525,15
97,-21,36699,Patrick Rodgers,-0.105,-2.211,21
98,-3,45242,Kevin Yu,-0.113,-0.908,8
99,7,51349,Nico Echavarria,-0.115,-1.262,11
100,5,28723,John Parry,-0.138,-1.799,13
101,2,54591,Ben Griffin,-0.140,-2.528,18
102,28,48867,Matti Schmid,-0.155,-2.485,16
103,5,34371,Adrien Saddier,-0.164,-1.479,9
104,-21,47993,Denny McCarthy,-0.166,-2.830,17
105,-16,57975,Harry Hall,-0.188,-2.632,14
106,-24,27349,Alex Noren,-0.197,-1.967,10
107,4,36799,Stephan Jaeger,-0.198,-2.380,12
108,4,45522,Christiaan Bezuidenhout,-0.204,-1.425,7
109,25,51977,Max Greyserman,-0.219,-2.845,13
110,8,27644,Brian Harman,-0.221,-3.311,15
111,3,55573,John VanDerLaan,-0.235,-2.350,10
112,-2,29725,Tony Finau,-0.240,-3.842,16
113,3,28252,Seamus Power,-0.247,-2.224,9
114,-1,35532,Tom Hoge,-0.258,-4.384,17
114,3,48153,Matthieu Pavon,-0.258,-2.843,11
116,-1,52666,Sami Valimaki,-0.265,-3.705,14
117,2,32070,Rafael Campos,-0.267,-1.867,7
118,-14,34046,Jordan Spieth,-0.270,-3.777,14
119,1,37338,Zecheng Dou,-0.283,-3.680,13
120,2,54304,Karl Vilips,-0.285,-1.996,7
121,2,54628,Lee Hodges,-0.286,-1.715,6
122,3,30926,Chris Kirk,-0.315,-2.837,9
123,14,51634,Sahith Theegala,-0.323,-6.783,21
124,2,50095,Austin Smotherman,-0.327,-2.289,7
125,2,31646,Emiliano Grillo,-0.328,-3.931,12
126,14,32839,Hideki Matsuyama,-0.334,-6.351,19
127,12,27064,Jhonattan Vegas,-0.343,-3.429,10
128,1,54788,Chandler Blanchet,-0.344,-2.062,6
129,-23,51997,Andrew Novak,-0.356,-4.981,14
130,1,36801,Mark Hubbard,-0.360,-3.597,10
131,1,40162,Justin Lower,-0.365,-1.459,4
132,1,60067,Joe Highsmith,-0.373,-5.227,14
133,22,46717,Viktor Hovland,-0.381,-4.572,12
134,14,25900,Lucas Glover,-0.384,-2.305,6
135,0,40115,Adam Svensson,-0.387,-2.324,6
136,0,36326,David Lipsky,-0.396,-1.982,5
137,-9,46414,Aaron Rai,-0.415,-4.982,12
138,0,38991,Alejandro Tosti,-0.430,-2.580,6
139,2,29420,Billy Horschel,-0.451,-5.869,13
140,2,27770,Camilo Villegas,-0.453,-0.907,2
141,2,57362,Austin Eckroat,-0.459,-3.672,8
142,2,37275,Sam Ryder,-0.461,-2.304,5
143,2,57900,Chandler Phillips,-0.481,-5.296,11
144,2,48001,Zach Bauchou,-0.489,-6.362,13
145,2,37076,Marcelo Rozo,-0.514,-4.113,8
146,3,54607,Danny Walker,-0.559,-4.469,8
147,3,29535,Brice Garnett,-0.569,-4.555,8
148,3,63121,William Mouw,-0.570,-4.560,8
149,3,49228,Keita Nakajima,-0.602,-6.024,10
150,3,51894,Vince Whaley,-0.638,-5.107,8
151,3,59567,Emilio Gonzalez,-0.674,-6.068,9
152,4,47347,Adam Schenk,-0.689,-8.268,12
153,4,24024,Zach Johnson,-0.697,-4.182,6
154,5,36529,S.T. Lee,-0.773,-6.187,8
155,11,39975,Michael Kim,-0.823,-12.346,15
156,5,29221,Webb Simpson,-0.858,-5.149,6
157,6,46443,Brian Campbell,-0.864,-11.234,13
158,4,34466,Peter Malnati,-0.869,-5.215,6
159,4,45157,Cam Davis,-0.903,-9.035,10
160,5,48887,Matt Wallace,-0.904,-1.808,2
161,6,57123,Steven Fisk,-0.961,-7.691,8
162,7,27649,Brandt Snedeker,-1.139,-2.279,2
163,7,54576,Patrick Fishburn,-1.143,-2.287,2
164,7,47591,Eric Cole,-1.151,-10.362,9
165,7,32757,Patton Kizzire,-1.184,-10.657,9
166,7,47995,Davis Riley,-1.196,-10.767,9
167,7,47393,Jeffrey Kang,-1.430,-8.579,6
168,7,27214,Kevin Streelman,-1.511,-3.021,2
169,7,60019,Jackson Suber,-1.652,-6.610,4
170,7,59866,Nick Dunlap,-1.693,-8.463,5
171,7,49590,Frankie Capan III,-2.077,-4.154,2
172,7,55851,Pontus Nyholm,-2.124,-12.744,6